10001,20366143,650
10002,12978423,1020
10003,12728837,1040
10004,11819635,1120
10005,13106922,1010
10006,11715036,1130
10007,11612272,1140
10008,13237991,1000
10009,11511297,1150
10010,12852419,1030
10011,18339160,1750
10012,19810822,1620
10013,17929347,1790
10014,21253996,1510
10015,18234960,1760
10016,20058458,1600
10017,17829740,1800
10018,16208854,1980
10019,15887886,2020
10020,19689283,1630
10021,20976164,1530
10022,15809622,2030
10023,20184611,1590
10024,18551174,1730
10025,18444558,1740
10026,22923952,1400
10027,19933871,1610
10028,15655380,2050
10029,20839956,1540
10030,20572777,1560
10031,19450625,1650
10032,21114165,1520
10033,16980703,1890
10034,18659031,1720
10035,19333452,1660
10036,20705503,1550
10037,16291133,1970
10038,16046765,2000
10039,17449865,2150
10040,14211064,2640
10041,16600536,2260
10042,17053277,2200
10043,16241217,2310
10044,13793092,2720
10045,14770555,2540
10046,17865338,2100
10047,13742568,2730
10048,15897123,2360
10049,14265099,2630
10050,13544119,2770
10051,14104214,2660
10052,15830047,2370
10053,14319546,2620
10054,17613714,2130
10055,16171211,2320
10056,16527405,2270
10057,6562391,2810
10058,6229837,2960
10059,4904340,3760
10060,6085914,3030
10061,5656541,3260
10062,4432771,4160
10063,4878392,3780
10064,6516014,2830
10065,4206094,4540
10066,4525040,4220
10067,3110044,6140
10068,3247562,5880
